Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	mean_counts
gene-PA3812	6	21	12	10	3	2	host	iscA	9.0
gene-PA3492	11	10	1	0	0	2	host	gene-PA3492	4.0
gene-PA2783	9	6	0	0	1	0	host	gene-PA2783	2.6666666666666665
gene-PA4273	33	180	207	202	189	195	host	rplA	167.66666666666666
gene-PA2352	2	6	0	0	2	1	host	gene-PA2352	1.8333333333333333
gene-PA5020	23	8	8	4	6	5	host	gene-PA5020	9.0
gene-PA0373	24	27	5	5	4	3	host	ftsY	11.333333333333334
gene-PA2913	4	8	0	0	2	1	host	gene-PA2913	2.5
gene-PA3960	7	5	0	0	0	2	host	gene-PA3960	2.3333333333333335
gene-PHIKZ_p07	0	0	6765	6564	10574	10203	phage	gene-PHIKZ_p07	5684.333333333333
gene-PHIKZ114	0	0	761	730	1528	1458	phage	gene-PHIKZ114	746.1666666666666
gene-PA5407	6	15	2	2	1	0	host	gene-PA5407	4.333333333333333
gene-PA2938	13	4	0	0	1	0	host	gene-PA2938	3.0
gene-PA3555	5	10	42	15	41	25	host	arnD	23.0
gene-PA0814	3	0	0	1	0	0	host	gene-PA0814	0.6666666666666666
gene-PA4623	1	4	0	0	0	1	host	gene-PA4623	1.0
gene-PA0426	59	64	7	10	8	5	host	mexB	25.5
gene-PA5222	13	10	0	0	0	0	host	gene-PA5222	3.8333333333333335
gene-PA3766	6	15	1	2	2	2	host	gene-PA3766	4.666666666666667
gene-PA1811	16	15	1	1	6	3	host	gene-PA1811	7.0
gene-PA2005	6	5	0	0	0	0	host	gene-PA2005	1.8333333333333333
gene-PA2288	6	4	0	0	1	0	host	gene-PA2288	1.8333333333333333
gene-PA5402	6	28	5	4	3	6	host	gene-PA5402	8.666666666666666
gene-PA0147	15	10	0	0	1	3	host	gene-PA0147	4.833333333333333
gene-PA0017	14	19	0	0	1	0	host	gene-PA0017	5.666666666666667
gene-PA1830	41	130	16	15	8	11	host	gene-PA1830	36.833333333333336
gene-PA2155	7	1	0	0	1	0	host	gene-PA2155	1.5
gene-PA4711	1	2	0	8	1	2	host	gene-PA4711	2.3333333333333335
gene-PA2895	5	2	0	0	1	0	host	gene-PA2895	1.3333333333333333
gene-PA3572	1	5	3	0	0	1	host	gene-PA3572	1.6666666666666667
gene-PA1319	4	13	0	0	3	6	host	cyoC	4.333333333333333
gene-PA4919	16	9	2	4	17	14	host	pncB1	10.333333333333334
gene-PA2525	4	2	2	3	3	6	host	gene-PA2525	3.3333333333333335
gene-PA5238	26	18	2	2	4	2	host	gene-PA5238	9.0
gene-PA4371	8	13	6	17	6	3	host	gene-PA4371	8.833333333333334
gene-PA2679	1	3	0	0	0	0	host	gene-PA2679	0.6666666666666666
gene-PA1434	5	5	0	0	0	0	host	gene-PA1434	1.6666666666666667
gene-PA0154	5	8	0	0	0	1	host	pcaG	2.3333333333333335
gene-PA2676	2	3	0	1	0	0	host	gene-PA2676	1.0
gene-PA0887	20	108	4	5	7	5	host	acsA	24.833333333333332
gene-PA5156	11	13	1	1	6	3	host	gene-PA5156	5.833333333333333
gene-PHIKZ244	2	0	888	854	2547	2447	phage	gene-PHIKZ244	1123.0
gene-PA3774	6	4	0	1	0	0	host	gene-PA3774	1.8333333333333333
gene-PA1872	7	3	0	0	11	6	host	gene-PA1872	4.5
gene-PA5458	14	8	1	1	0	3	host	gene-PA5458	4.5
gene-PA0326	18	12	1	1	4	3	host	gene-PA0326	6.5
gene-PA5079	8	5	0	0	1	0	host	gene-PA5079	2.3333333333333335
gene-PA0757	9	8	0	2	1	2	host	gene-PA0757	3.6666666666666665
gene-PHIKZ067	1	2	584	558	7396	7330	phage	gene-PHIKZ067	2645.1666666666665
gene-PA5298	4	18	9	10	5	5	host	gene-PA5298	8.5
gene-PA3783	7	4	0	0	1	0	host	gene-PA3783	2.0
gene-PA2086	3	1	0	0	0	0	host	gene-PA2086	0.6666666666666666
gene-PA0167	12	13	1	1	0	0	host	gene-PA0167	4.5
gene-PA5176	10	13	1	1	5	3	host	gene-PA5176	5.5
gene-PA1733	4	3	1	0	1	1	host	gene-PA1733	1.6666666666666667
gene-PHIKZ165	7	2	1786	1766	14527	14235	phage	gene-PHIKZ165	5387.166666666667
gene-PA0886	10	9	0	0	0	1	host	gene-PA0886	3.3333333333333335
gene-PA4287	2	2	0	0	3	3	host	gene-PA4287	1.6666666666666667
gene-PA5521	11	4	1	1	0	1	host	gene-PA5521	3.0
gene-PA4809	5	6	1	0	0	0	host	fdhE	2.0
gene-PA0158	53	35	12	3	13	9	host	gene-PA0158	20.833333333333332
gene-PA2776	13	1	7	6	2	3	host	gene-PA2776	5.333333333333333
gene-PA5138	6	10	2	2	0	0	host	gene-PA5138	3.3333333333333335
gene-PA3123	1	1	0	2	2	5	host	gene-PA3123	1.8333333333333333
gene-PA3542	18	5	0	0	0	0	host	alg44	3.8333333333333335
gene-PHIKZ_p28	1	0	32	35	564	573	phage	gene-PHIKZ_p28	200.83333333333334
gene-PA3342	6	6	0	2	2	2	host	gene-PA3342	3.0
gene-PA1799	3	7	2	1	1	2	host	parR	2.6666666666666665
gene-PA2932	9	3	0	2	0	0	host	morB	2.3333333333333335
gene-PA3537	12	15	0	0	1	1	host	argF	4.833333333333333
gene-PA3717	6	6	0	1	1	1	host	gene-PA3717	2.5
gene-PA4682	12	4	27	26	33	27	host	gene-PA4682	21.5
gene-PA1898	4	5	0	0	4	4	host	qscR	2.8333333333333335
gene-PA4603	4	3	0	0	0	0	host	gene-PA4603	1.1666666666666667
gene-PA2189	3	2	1	2	1	1	host	gene-PA2189	1.6666666666666667
gene-PA2252	15	40	0	3	3	3	host	gene-PA2252	10.666666666666666
gene-PA5285	44	129	10	9	8	9	host	gene-PA5285	34.833333333333336
gene-PA1488	6	7	2	2	1	2	host	gene-PA1488	3.3333333333333335
gene-PA5200	11	4	1	1	1	0	host	amgR	3.0
gene-PA2192	1	0	0	1	0	0	host	gene-PA2192	0.3333333333333333
gene-PA3476	6	27	3	4	1	2	host	rhlI	7.166666666666667
gene-PA0197	9	6	0	0	4	5	host	tonB2	4.0
gene-PA2917	7	8	1	0	2	2	host	gene-PA2917	3.3333333333333335
gene-PA3291	5	2	88	86	71	66	host	gene-PA3291	53.0
gene-PA5374	5	16	32	32	42	38	host	betI	27.5
gene-PA1053	81	305	2	1	0	2	host	gene-PA1053	65.16666666666667
gene-PA1601	10	14	0	0	0	0	host	gene-PA1601	4.0
gene-PA2455	5	4	3	2	3	2	host	gene-PA2455	3.1666666666666665
gene-PA0781	12	6	0	0	0	0	host	gene-PA0781	3.0
gene-PA4997	22	62	9	8	13	11	host	msbA	20.833333333333332
gene-PA2016	2	3	35	34	29	30	host	liuR	22.166666666666668
gene-PA2003	5	3	0	0	1	0	host	bdhA	1.5
gene-PA4839	28	28	2	3	8	4	host	speA	12.166666666666666
gene-PA0030	7	2	1	2	4	3	host	gene-PA0030	3.1666666666666665
gene-PA2183	0	1	0	0	0	0	host	gene-PA2183	0.16666666666666666
gene-PA0499	9	5	5	5	10	3	host	gene-PA0499	6.166666666666667
gene-PA2614	2	15	0	0	0	1	host	lolA	3.0
gene-PA2282	3	4	0	0	0	0	host	gene-PA2282	1.1666666666666667
gene-PA2097	4	4	0	0	0	0	host	gene-PA2097	1.3333333333333333
gene-PA2222	1	0	7	8	4	6	host	gene-PA2222	4.333333333333333
gene-PA3556	17	8	0	0	1	0	host	arnT	4.333333333333333
gene-PA5249	6	3	2	1	1	0	host	gene-PA5249	2.1666666666666665
gene-PHIKZ_t03	0	0	3	5	48	58	phage	gene-PHIKZ_t03	19.0
gene-PA1676	1	0	0	0	1	0	host	gene-PA1676	0.3333333333333333
gene-PA0440	17	4	0	0	0	0	host	gene-PA0440	3.5
gene-PA2740	11	29	5	5	1	1	host	pheS	8.666666666666666
gene-PA0617	6	2	0	0	2	1	host	gene-PA0617	1.8333333333333333
gene-PA3482	32	55	7	9	12	11	host	metG	21.0
gene-PHIKZ246	1	0	2438	2363	1634	1581	phage	gene-PHIKZ246	1336.1666666666667
gene-PA2512	11	8	0	0	0	0	host	antA	3.1666666666666665
gene-PA3019	17	41	0	0	3	6	host	gene-PA3019	11.166666666666666
gene-PA5205	12	3	0	1	0	0	host	gene-PA5205	2.6666666666666665
gene-PA0488	3	1	0	0	1	1	host	gene-PA0488	1.0
gene-PA0820	10	14	26	32	45	45	host	gene-PA0820	28.666666666666668
gene-PA3107	12	22	0	0	1	0	host	metZ	5.833333333333333
gene-PA1037	8	9	1	1	3	1	host	gene-PA1037	3.8333333333333335
gene-PHIKZ_p85	7	6	2990	3023	49132	48016	phage	gene-PHIKZ_p85	17195.666666666668
gene-PA0164	19	10	0	0	0	0	host	gene-PA0164	4.833333333333333
gene-PA5022	53	30	6	4	9	6	host	gene-PA5022	18.0
gene-PA0947	13	60	11	8	9	8	host	gene-PA0947	18.166666666666668
gene-PHIKZ_p80	0	0	420	431	488	507	phage	gene-PHIKZ_p80	307.6666666666667
gene-PA1529	16	26	22	25	12	15	host	lig	19.333333333333332
gene-PA2340	4	4	1	1	0	2	host	gene-PA2340	2.0
gene-PA1344	5	6	0	0	0	0	host	gene-PA1344	1.8333333333333333
gene-PA3050	9	28	2	0	1	1	host	pyrD	6.833333333333333
gene-PA1384	8	10	8	4	3	5	host	galE	6.333333333333333
gene-PHIKZ236	0	4	9036	7786	4857	5036	phage	gene-PHIKZ236	4453.166666666667
gene-PA5067	3	17	2	3	2	1	host	hisE	4.666666666666667
gene-PA4645	13	29	45	42	35	36	host	gene-PA4645	33.333333333333336
gene-PA1593	3	11	0	0	1	0	host	gene-PA1593	2.5
gene-PHIKZ229	0	1	308	323	907	927	phage	gene-PHIKZ229	411.0
gene-PHIKZ063	1	2	5711	5693	112246	111747	phage	gene-PHIKZ063	39233.333333333336
gene-PA5469	6	2	0	1	0	0	host	gene-PA5469	1.5
gene-PA4479	13	11	0	0	0	1	host	mreD	4.166666666666667
gene-PHIKZ029	2	1	8257	8093	682363	676735	phage	gene-PHIKZ029	229241.83333333334
gene-PA4277.3	181	751	47	41	48	42	host	gene-PA4277.3	185.0
gene-PA1821	14	43	2	1	1	2	host	gene-PA1821	10.5
gene-PA5379	16	5	7	13	15	13	host	sdaB	11.5
gene-PA3398	10	11	0	0	0	0	host	gene-PA3398	3.5
gene-PA3313	8	11	3	8	0	3	host	gene-PA3313	5.5
gene-PA1808	4	8	2	1	0	0	host	gene-PA1808	2.5
gene-PA4104	4	6	0	0	2	0	host	gene-PA4104	2.0
gene-PA0061	4	5	0	0	0	0	host	gene-PA0061	1.5
gene-PA3641	23	77	9	7	8	4	host	gene-PA3641	21.333333333333332
gene-PA0047	6	2	0	0	2	0	host	gene-PA0047	1.6666666666666667
gene-PA0132	17	12	0	0	1	0	host	gene-PA0132	5.0
gene-PA0162	11	11	0	0	2	2	host	opdC	4.333333333333333
gene-PA2523	2	4	19	20	28	22	host	gene-PA2523	15.833333333333334
gene-PA3296	9	0	1	0	2	0	host	phoA	2.0
gene-PA1491	7	2	2	1	1	0	host	gene-PA1491	2.1666666666666665
gene-PA5478	28	25	0	0	2	2	host	gene-PA5478	9.5
gene-PA0754	13	3	0	0	0	0	host	gene-PA0754	2.6666666666666665
gene-PA4082	43	11	0	0	1	0	host	cupB5	9.166666666666666
gene-PA5302	13	3	65	83	124	118	host	dadX	67.66666666666667
gene-PA4816	10	10	1	1	1	1	host	gene-PA4816	4.0
gene-PA5080	11	11	0	1	2	3	host	gene-PA5080	4.666666666666667
gene-PA4301	4	5	0	3	0	0	host	tadB	2.0
gene-PA0222	16	9	0	0	0	0	host	gene-PA0222	4.166666666666667
gene-PA2991	19	38	9	9	8	9	host	sth	15.333333333333334
gene-PA0674	2	2	25	15	34	19	host	vreA	16.166666666666668
gene-PA3281	3	0	0	0	1	1	host	gene-PA3281	0.8333333333333334
gene-PA4888	16	22	0	0	1	0	host	desB	6.5
gene-PHIKZ020	0	1	1685	1634	1821	1823	phage	gene-PHIKZ020	1160.6666666666667
gene-PA0839	4	4	0	1	0	0	host	gene-PA0839	1.5
gene-PA1450	10	4	0	1	2	2	host	gene-PA1450	3.1666666666666665
gene-PA5031	13	1	0	0	0	2	host	gene-PA5031	2.6666666666666665
gene-PA4681	4	5	38	44	76	49	host	gene-PA4681	36.0
gene-PA4291	11	18	238	28	24	22	host	gene-PA4291	56.833333333333336
gene-PA4773	21	29	2	1	3	2	host	gene-PA4773	9.666666666666666
gene-PA4047	7	11	0	0	0	1	host	ribA	3.1666666666666665
gene-PA2010	4	3	1	1	0	0	host	gene-PA2010	1.5
gene-PA1569	6	4	0	1	0	0	host	gene-PA1569	1.8333333333333333
gene-PA3906	4	4	1	0	0	0	host	gene-PA3906	1.5
gene-PA0135	2	0	0	0	0	0	host	gene-PA0135	0.3333333333333333
gene-PA1377	4	4	1	0	2	1	host	gene-PA1377	2.0
gene-PA3286	11	19	1	2	3	4	host	gene-PA3286	6.666666666666667
gene-PA0993	3	1	0	0	1	1	host	cupC2	1.0
gene-PA0079	12	9	0	0	2	0	host	gene-PA0079	3.8333333333333335
gene-PA4585	7	3	0	0	1	0	host	rtcA	1.8333333333333333
gene-PA4099	16	4	5	7	4	13	host	gene-PA4099	8.166666666666666
gene-PA2601	2	3	13	9	20	25	host	gene-PA2601	12.0
gene-PA4625	39	364	23	23	31	43	host	gene-PA4625	87.16666666666667
gene-PA4423	18	28	6	8	13	15	host	gene-PA4423	14.666666666666666
gene-PA5524	14	8	0	0	0	0	host	gene-PA5524	3.6666666666666665
gene-PA4992	7	9	0	1	0	1	host	gene-PA4992	3.0
gene-PA2302	31	6	2	2	10	2	host	ambE	8.833333333333334
gene-PA0463	14	10	0	0	0	0	host	creB	4.0
gene-PA3237	0	1	0	0	0	1	host	gene-PA3237	0.3333333333333333
gene-PA1176	1	3	0	0	0	1	host	napF	0.8333333333333334
gene-PA3746	35	108	9	10	5	2	host	ffh	28.166666666666668
gene-PA1820	10	11	4	4	4	2	host	nhaB	5.833333333333333
gene-PA2765	4	8	3	2	2	1	host	gene-PA2765	3.3333333333333335
gene-PA0741	1	0	0	0	0	0	host	gene-PA0741	0.16666666666666666
gene-PA3170	11	7	0	0	0	0	host	gene-PA3170	3.0
gene-PA1598	2	3	0	0	0	0	host	gene-PA1598	0.8333333333333334
gene-PA2318	2	1	0	0	0	0	host	gene-PA2318	0.5
gene-PA4734	4	6	2	3	4	2	host	gene-PA4734	3.5
gene-PA2993	10	22	0	0	0	1	host	gene-PA2993	5.5
gene-PA1390	8	3	1	1	2	3	host	gene-PA1390	3.0
gene-PA2986	17	25	2	3	0	0	host	gene-PA2986	7.833333333333333
gene-PA0579	76	472	97	110	63	71	host	rpsU	148.16666666666666
gene-PA2763	1	0	0	0	0	0	host	gene-PA2763	0.16666666666666666
gene-PA1530	4	14	0	0	0	0	host	gene-PA1530	3.0
gene-PA5358	10	12	12	4	9	7	host	ubiA	9.0
gene-PA2201	3	2	0	0	0	0	host	gene-PA2201	0.8333333333333334
gene-PA4198	21	7	0	0	1	0	host	gene-PA4198	4.833333333333333
gene-PA1303	3	2	0	0	0	0	host	gene-PA1303	0.8333333333333334
gene-PA4571	15	7	3	7	4	7	host	gene-PA4571	7.166666666666667
gene-PA4897	46	21	1	0	2	2	host	gene-PA4897	12.0
gene-PA4039	22	21	0	1	0	0	host	gene-PA4039	7.333333333333333
gene-PA4349	9	5	0	0	1	4	host	gene-PA4349	3.1666666666666665
gene-PHIKZ185	4	5	15266	14354	4528	4715	phage	gene-PHIKZ185	6478.666666666667
gene-PA2572	5	5	0	0	3	1	host	gene-PA2572	2.3333333333333335
gene-PA2483	8	17	0	0	0	0	host	gene-PA2483	4.166666666666667
gene-PA5494	4	6	2	2	1	1	host	gene-PA5494	2.6666666666666665
gene-PA0096	4	6	1	0	0	1	host	gene-PA0096	2.0
gene-PA2210	1	1	0	0	1	1	host	gene-PA2210	0.6666666666666666
gene-PA3712	6	7	0	0	0	0	host	gene-PA3712	2.1666666666666665
gene-PA1557	10	15	6	3	4	5	host	ccoN2	7.166666666666667
gene-PA5163	23	16	5	3	0	0	host	rmlA	7.833333333333333
gene-PA2606	3	5	0	0	1	0	host	gene-PA2606	1.5
gene-PA5311	9	4	1	0	1	1	host	gene-PA5311	2.6666666666666665
gene-PA2814	3	1	0	0	0	0	host	gene-PA2814	0.6666666666666666
gene-PA1741	2	3	0	0	1	0	host	gene-PA1741	1.0
gene-PA4518	0	1	0	0	0	0	host	gene-PA4518	0.16666666666666666
gene-PA0517	1	1	0	0	0	0	host	nirC	0.3333333333333333
gene-PA2997	10	24	5	6	3	1	host	nqrC	8.166666666666666
gene-PA4828	8	3	1	1	0	0	host	gene-PA4828	2.1666666666666665
gene-PA1954	11	3	0	0	1	0	host	gene-PA1954	2.5
gene-PA2031	1	4	0	0	1	2	host	gene-PA2031	1.3333333333333333
gene-PA1618	1	6	1	0	0	2	host	gene-PA1618	1.6666666666666667
gene-PA5172	18	7	30	25	12	6	host	arcB	16.333333333333332
gene-PA3984	8	24	0	0	2	2	host	lnt	6.0
gene-PA4482	8	6	5	8	6	5	host	gatC	6.333333333333333
gene-PA3516	13	2	0	0	1	1	host	gene-PA3516	2.8333333333333335
gene-PA0246	18	10	0	0	0	0	host	gene-PA0246	4.666666666666667
gene-PA5414	6	5	0	1	4	1	host	gene-PA5414	2.8333333333333335
gene-PA1944	4	9	2	2	4	4	host	gene-PA1944	4.166666666666667
gene-PA0963	26	76	14	9	15	13	host	aspS	25.5
gene-PA5330	10	14	1	4	2	6	host	gene-PA5330	6.166666666666667
gene-PA3569	10	1	0	0	0	0	host	mmsB	1.8333333333333333
gene-PHIKZ204	0	0	706	583	353	314	phage	gene-PHIKZ204	326.0
gene-PA3672	9	4	0	0	1	0	host	gene-PA3672	2.3333333333333335
gene-PA3311	17	9	0	1	38	47	host	gene-PA3311	18.666666666666668
gene-PA0181	12	6	0	0	0	2	host	gene-PA0181	3.3333333333333335
gene-PA1648	2	2	0	0	0	0	host	gene-PA1648	0.6666666666666666
gene-PHIKZ078	0	0	952	915	14763	14926	phage	gene-PHIKZ078	5259.333333333333
gene-PA1903	17	3	1	0	0	0	host	phzE2	3.5
gene-PA4612	6	2	0	3	0	1	host	gene-PA4612	2.0
gene-PA1757	8	13	11	10	7	4	host	thrH	8.833333333333334
gene-PA3889	9	9	0	0	1	0	host	gene-PA3889	3.1666666666666665
gene-PA5137	7	14	0	1	2	1	host	gene-PA5137	4.166666666666667
gene-PA0655	2	12	7	17	23	19	host	gene-PA0655	13.333333333333334
gene-PA3664	4	21	1	1	0	1	host	gene-PA3664	4.666666666666667
gene-PA4155	8	0	0	0	0	0	host	gene-PA4155	1.3333333333333333
gene-PA3479	6	13	1	0	5	2	host	rhlA	4.5
gene-PA2824	16	11	0	1	0	1	host	gene-PA2824	4.833333333333333
gene-PA0021	7	2	0	0	2	0	host	gene-PA0021	1.8333333333333333
gene-PA2757	5	8	1	0	1	2	host	gene-PA2757	2.8333333333333335
gene-PA0001	21	90	45	38	25	20	host	dnaA	39.833333333333336
gene-PA4507	5	2	0	0	0	0	host	gene-PA4507	1.1666666666666667
gene-PA0044	17	38	0	1	0	2	host	exoT	9.666666666666666
gene-PA2185	6	1	2	0	0	0	host	katN	1.5
gene-PA3559	13	10	2	2	0	0	host	gene-PA3559	4.5
gene-PHIKZ264	1	1	1965	3448	2186	2528	phage	gene-PHIKZ264	1688.1666666666667
gene-PA3573	12	6	0	0	0	0	host	gene-PA3573	3.0
gene-PA2738	42	226	18	17	34	29	host	himA	61.0
gene-PA4038	12	6	0	0	1	1	host	gene-PA4038	3.3333333333333335
gene-PA2953	21	61	7	8	26	25	host	gene-PA2953	24.666666666666668
gene-PA1796.1	77	619	16	12	37	34	host	gene-PA1796.1	132.5
gene-PA3315	6	3	0	0	0	0	host	gene-PA3315	1.5
gene-PA4011	5	22	0	0	2	3	host	gene-PA4011	5.333333333333333
gene-PA4581	9	5	0	0	3	0	host	rtcR	2.8333333333333335
gene-PA0836.1	1	1	0	0	0	1	host	gene-PA0836.1	0.5
gene-PA1386	5	4	2	1	3	2	host	gene-PA1386	2.8333333333333335
gene-PA3274	2	4	0	0	0	0	host	gene-PA3274	1.0
gene-PA0664	8	3	5	6	9	12	host	gene-PA0664	7.166666666666667
gene-PA1580	18	92	53	55	38	28	host	gltA	47.333333333333336
gene-PA5460	2	1	0	0	0	0	host	gene-PA5460	0.5
gene-PA0216	11	4	1	0	1	0	host	gene-PA0216	2.8333333333333335
gene-PA0844	13	4	1	1	0	0	host	plcH	3.1666666666666665
gene-PA2976	31	105	35	36	36	28	host	rne	45.166666666666664
gene-PA4780	15	8	0	1	2	1	host	gene-PA4780	4.5
gene-PA5146	32	47	1	2	11	6	host	gene-PA5146	16.5
gene-PA2599	7	3	0	0	1	0	host	gene-PA2599	1.8333333333333333
gene-PA5351	25	39	8	7	11	10	host	rubA1	16.666666666666668
gene-PA2692	3	6	0	0	0	0	host	gene-PA2692	1.5
gene-PA2053	4	4	0	0	0	0	host	cynT	1.3333333333333333
gene-PA3989	6	13	1	0	0	0	host	holA	3.3333333333333335
gene-PA1771	8	5	0	0	1	0	host	estX	2.3333333333333335
gene-PA1334	2	8	0	0	1	1	host	gene-PA1334	2.0
gene-PA1424a	3	1	0	0	0	0	host	gene-PA1424a	0.6666666666666666
gene-PA3677	9	3	1	1	0	0	host	gene-PA3677	2.3333333333333335
gene-PA3613	24	9	1	1	3	4	host	gene-PA3613	7.0
gene-PHIKZ_p04	1	1	14	16	152	168	phage	gene-PHIKZ_p04	58.666666666666664
gene-PA4207	24	16	0	1	1	1	host	mexI	7.166666666666667
gene-PA4544	12	34	0	1	4	2	host	rluD	8.833333333333334
gene-PA3835	4	3	4	4	5	2	host	gene-PA3835	3.6666666666666665
gene-PA2307	4	1	3	7	1	4	host	gene-PA2307	3.3333333333333335
gene-PA2493	9	4	0	0	0	1	host	mexE	2.3333333333333335
gene-PA1783	3	1	0	0	1	0	host	nasA	0.8333333333333334
gene-PA3709	14	11	1	0	2	0	host	gene-PA3709	4.666666666666667
gene-PA5000	16	31	38	45	53	47	host	wapR	38.333333333333336
gene-PA4565	11	34	1	1	7	3	host	proB	9.5
gene-PA5392	5	3	0	0	0	1	host	gene-PA5392	1.5
gene-PA3557	2	7	0	0	0	0	host	arnE	1.5
gene-PA5510	16	13	1	2	0	2	host	gene-PA5510	5.666666666666667
gene-PA0883	4	0	0	0	0	0	host	gene-PA0883	0.6666666666666666
gene-PA3632	3	18	0	0	0	0	host	gene-PA3632	3.5
gene-PHIKZ002	0	1	86	127	1077	1116	phage	gene-PHIKZ002	401.1666666666667
gene-PHIKZ092	1	0	2012	1973	163159	162852	phage	gene-PHIKZ092	54999.5
gene-PA4159	6	1	0	0	4	1	host	fepB	2.0
gene-PA2555	8	4	1	0	0	1	host	gene-PA2555	2.3333333333333335
gene-PA2862	15	5	2	3	4	2	host	lipA	5.166666666666667
gene-PHIKZ228	0	4	2211	2189	6058	5744	phage	gene-PHIKZ228	2701.0
gene-PA2564	5	1	0	0	0	1	host	gene-PA2564	1.1666666666666667
gene-PA3458	6	1	0	0	1	0	host	gene-PA3458	1.3333333333333333
gene-PA1810	7	7	4	1	1	1	host	gene-PA1810	3.5
gene-PA1889	9	12	0	0	3	1	host	gene-PA1889	4.166666666666667
gene-PA4697	6	4	4	5	5	5	host	gene-PA4697	4.833333333333333
gene-PA0262	29	9	2	2	4	2	host	gene-PA0262	8.0
gene-PA3358	8	2	1	0	1	0	host	gene-PA3358	2.0
gene-PA4893	15	5	0	0	0	0	host	ureG	3.3333333333333335
gene-PA4660	6	8	3	5	7	6	host	phr	5.833333333333333
gene-PA0657	10	5	14	17	25	34	host	gene-PA0657	17.5
gene-PA2975	9	23	4	6	6	3	host	rluC	8.5
gene-PA3285	7	7	0	0	0	0	host	gene-PA3285	2.3333333333333335
gene-PA0266	16	37	5	5	6	6	host	gene-PA0266	12.5
gene-PA4471	2	5	0	0	0	0	host	gene-PA4471	1.1666666666666667
gene-PA0069	15	11	0	0	2	0	host	gene-PA0069	4.666666666666667
gene-PA0551	18	28	4	4	3	2	host	epd	9.833333333333334
gene-PA4755	5	24	1	0	0	1	host	greA	5.166666666666667
gene-PA1084	10	21	1	1	1	2	host	flgI	6.0
gene-PA2739	27	106	17	15	24	17	host	pheT	34.333333333333336
gene-PA3236	10	3	1	0	0	1	host	gene-PA3236	2.5
gene-PA3526	12	5	1	1	1	0	host	gene-PA3526	3.3333333333333335
gene-PA0808	2	3	0	0	0	0	host	gene-PA0808	0.8333333333333334
gene-PA4204	12	9	1	2	2	1	host	ppgL	4.5
gene-PA3017	1	10	3	1	2	11	host	gene-PA3017	4.666666666666667
gene-PA5294	17	5	3	0	2	0	host	gene-PA5294	4.5
gene-PA1536	2	3	1	1	0	0	host	gene-PA1536	1.1666666666666667
gene-PA1673	7	5	0	1	0	0	host	gene-PA1673	2.1666666666666665
gene-PA4177	2	2	0	0	0	0	host	gene-PA4177	0.6666666666666666
gene-PA3256	5	4	0	0	0	0	host	gene-PA3256	1.5
gene-PA4116	7	6	0	0	0	0	host	bphO	2.1666666666666665
gene-PA0597	5	2	0	2	1	4	host	gene-PA0597	2.3333333333333335
gene-PA4361	8	4	3	4	10	12	host	gene-PA4361	6.833333333333333
gene-PHIKZ077	2	3	3143	3091	64416	69405	phage	gene-PHIKZ077	23343.333333333332
gene-PHIKZ098	0	0	617	613	55840	55807	phage	gene-PHIKZ098	18812.833333333332
gene-PA4738	4	9	2	2	10	5	host	gene-PA4738	5.333333333333333
gene-PA1318	23	53	6	6	1	0	host	cyoB	14.833333333333334
gene-PA1007	7	15	2	2	1	3	host	gene-PA1007	5.0
gene-PA1831	7	11	2	1	2	1	host	gene-PA1831	4.0
gene-PA2209	4	2	0	0	1	0	host	gene-PA2209	1.1666666666666667
gene-PA0559	12	8	2	2	1	1	host	gene-PA0559	4.333333333333333
gene-PA3227	4	5	1	3	3	3	host	ppiA	3.1666666666666665
gene-PA4460	16	37	55	41	44	33	host	gene-PA4460	37.666666666666664
gene-PA0738	0	0	0	0	0	0	host	gene-PA0738	0.0
gene-PA2497	4	1	10	5	7	7	host	gene-PA2497	5.666666666666667
gene-PA2234	1	5	1	2	0	1	host	pslD	1.6666666666666667
gene-PHIKZ064	9	1	1348	1311	29079	31459	phage	gene-PHIKZ064	10534.5
gene-PA0238	4	3	0	0	0	0	host	gene-PA0238	1.1666666666666667
gene-PA3615	6	16	0	0	0	0	host	gene-PA3615	3.6666666666666665
gene-PA0364	21	9	14	22	9	31	host	gene-PA0364	17.666666666666668
gene-PA1851	9	4	3	1	7	6	host	gene-PA1851	5.0
gene-PA4550	7	7	2	1	1	1	host	fimU	3.1666666666666665
gene-PA4013	7	9	1	0	1	1	host	gene-PA4013	3.1666666666666665
gene-PHIKZ_p83	0	2	3519	3371	30200	29781	phage	gene-PHIKZ_p83	11145.5
gene-PA2349	3	3	0	0	0	0	host	gene-PA2349	1.0
gene-PA2004	13	8	0	0	0	0	host	gene-PA2004	3.5
gene-PA4887	27	19	0	0	6	4	host	gene-PA4887	9.333333333333334
gene-PA3739	11	6	1	1	4	3	host	gene-PA3739	4.333333333333333
gene-PHIKZ_p32	0	0	41	47	212	237	phage	gene-PHIKZ_p32	89.5
gene-PA5528	8	16	1	0	1	2	host	gene-PA5528	4.666666666666667
gene-PA1272	8	10	1	0	2	2	host	cobO	3.8333333333333335
gene-PA4653	6	4	20	21	29	35	host	gene-PA4653	19.166666666666668
gene-PA3566	5	4	8	9	2	3	host	gene-PA3566	5.166666666666667
gene-PA1615	1	2	1	0	4	6	host	gene-PA1615	2.3333333333333335
